DATA;MES;TRANSPORTADORA;M3;KG
09/04/2026;abr;CPP;124,4084;28621,664
09/04/2026;abr;VEP;28,6541;5474,964
10/04/2026;abr;CPP;30,1345;7511,932
10/04/2026;abr;FTB;82,5067;20708,712
10/04/2026;abr;TR CARGO;50,0263;12597,918
13/04/2026;abr;CPP;60,227;14518,346
13/04/2026;abr;FTB;0,0567;8,64
13/04/2026;abr;TR CARGO;64,5927;14712,02
14/04/2026;abr;CPP;70,1069;12074,088
14/04/2026;abr;TR CARGO;56,1557;13059,496
15/04/2026;abr;CPP;6,8312;2161,52
15/04/2026;abr;VEP;97,4746;21687,536
